OBJID RA DEC
587730774425927738 00:02:38.57 +15:03:47.8
588015510343385206 00:02:39.65 +00:56:33.6
587727220876968212 00:02:41.69 +14:01:41.5
588015508732772569 00:02:43.07 -00:24:34.0
587731185130471577 00:02:45.40 -00:59:36.6
587727223024451765 00:02:50.56 +15:46:19.3
587727223024451767 00:02:51.58 +15:39:17.4
587731187277955231 00:02:52.10 +00:39:34.4
588015510343450869 00:02:53.20 +00:56:49.6
587727226227327047 00:02:59.99 -10:01:00.8
588015508732838032 00:03:01.47 -00:19:01.9
587727223561322743 00:03:02.61 +16:07:31.2
587730773352186042 00:03:03.36 +14:15:46.4
587730772815315011 00:03:04.30 +13:45:01.9
587727226227327058 00:03:05.67 -10:03:01.0
587730775499735181 00:03:06.59 +15:55:24.8
587730775499735284 00:03:08.14 +15:58:37.3
587730775499735187 00:03:08.48 +15:48:42.2
587727178986684545 00:03:11.23 -10:14:21.0
587730775499735086 00:03:11.27 +15:57:56.6
587727225690456202 00:03:13.87 -10:27:04.5
587731186204278841 00:03:14.90 -00:02:17.7
587730774962864272 00:03:14.98 +15:24:26.8
587731187814891662 00:03:14.99 +01:06:02.5
588015510343450756 00:03:16.15 +00:54:53.6
587730774962864284 00:03:17.72 +15:31:27.1
587730775499735216 00:03:18.31 +15:56:12.2
587727225153650837 00:03:20.59 -10:57:33.0
587731187814891701 00:03:23.74 +01:05:59.7
587727221413904560 00:03:25.64 +14:28:37.7
587727221413904414 00:03:26.03 +14:27:17.1
587727178449813647 00:03:27.53 -10:40:35.2
587727223561388310 00:03:28.07 +16:10:00.4
587727221413904572 00:03:28.40 +14:29:21.9
587727220877033629 00:03:29.38 +14:00:30.6
587727177913008212 00:03:29.84 -11:04:36.7
587727178449879151 00:03:30.20 -10:47:11.4
587731185667407993 00:03:30.82 -00:33:56.6
587727220877033633 00:03:32.18 +13:57:42.4
587731187814891733 00:03:32.95 +01:04:50.0
588015509806645382 00:03:33.92 +00:36:51.5
587730774425993387 00:03:34.57 +15:09:50.1
587731186741149883 00:03:37.38 +00:14:34.9
588015510343516291 00:03:38.53 +00:53:12.9
587730774962864345 00:03:40.27 +15:29:48.2
587727225153650820 00:03:42.53 -10:59:49.2
587727225690521721 00:03:44.16 -10:28:54.7
587727180597362809 00:03:44.29 -08:56:02.8
588015509806645405 00:03:44.57 +00:34:29.0
588015510343516321 00:03:46.01 +00:51:17.7
587727177913008243 00:03:46.52 -11:01:43.0
587731186204344467 00:03:47.02 -00:03:50.3
587730774426058874 00:03:47.94 +15:10:19.7
587727221413904728 00:03:48.03 +14:20:20.3
588015508196032685 00:03:48.28 -00:45:25.8
588015510343516328 00:03:48.78 +00:56:46.1
587727179523620960 00:03:52.37 -09:56:36.9
587730773889187957 00:03:53.76 +14:34:02.0
587727225690587238 00:03:54.31 -10:29:09.7
587730773352317074 00:03:54.70 +14:11:50.5
587731186741215357 00:03:54.84 +00:21:00.7
587727223024582881 00:03:54.88 +15:41:53.4
588015510343516393 00:03:55.95 +00:53:03.1
587731186204344487 00:03:58.12 -00:02:44.3
587730772815446262 00:03:58.80 +13:43:28.6
587727223561453816 00:03:59.11 +16:03:59.4
587731187814957158 00:03:59.87 +01:04:22.0
588015509806645435 00:04:00.09 +00:30:22.5
587730773889187885 00:04:00.62 +14:42:13.4
587730773352316977 00:04:01.70 +14:13:45.3
587727225153716451 00:04:02.52 -10:51:44.3
587730772815446274 00:04:02.94 +13:45:05.3
587731187278086304 00:04:03.27 +00:38:44.4
587730774962929876 00:04:04.17 +15:29:53.4
587727178986750147 00:04:04.31 -10:21:53.9
588015508732969059 00:04:06.01 -00:13:33.4
587731187278086329 00:04:07.72 +00:44:11.5
587727226764328983 00:04:08.05 -09:33:38.2
587727226227458180 00:04:10.46 -10:01:18.2
587730772815446200 00:04:13.15 +13:51:05.6
588015507659227263 00:04:18.22 -01:09:41.3
587731187278151856 00:04:22.59 +00:43:41.0
587727226764329107 00:04:22.81 -09:39:55.7
587727223024648413 00:04:23.35 +15:47:05.9
587727221413970147 00:04:23.74 +14:21:28.1
587727226227458212 00:04:25.77 -09:58:54.4
587727178986815517 00:04:25.91 -10:14:07.4
